,Cocktail Name,Bartender,Bar/Company,Location,Ingredients,Garnish,Glassware,Preparation,Notes,Ingredients_list,alcohol_type,full_text,text2vec,cluster,alcohol_genre,cocktail_genre,top_5_similarity_scores,top_5_similar_cocktails,similar_cocktails_names
26,The Robert Baratheon,,,,"2 oz Single Malt Scotch, .25 oz Dry Vermouth, .25 oz Luxardo Maraschino Liqueur, 2 dash Angostura Bitters",Luxardo Cherry,Coupe,Add all ingredients to a mixing glass filled with ice. Stir until cold and strain into a chilled coupe.,Photo credit: liquor.com,"['2 oz Single Malt Scotch', '.25 oz Dry Vermouth', '.25 oz Luxardo Maraschino Liqueur', '2 dash Angostura Bitters']","['scotch', 'malt', 'vermouth', 'liqueur', 'luxardo']"," oz Single Malt Scotch,  oz Dry Vermouth,  oz Luxardo Maraschino Liqueur, dash Angostura Bitters Luxardo Cherry Coupe Add all ingredients to a mixing glass filled with ice Stir until cold and strain into a chilled coupe Photo credit: liquor com","[0.19061194360256195, -0.38841304183006287, 0.1519380807876587, 0.2829933166503906, 0.23482568562030792, -0.1546860784292221, 0.24569974839687347, 0.1731640100479126, -0.8482332229614258, 0.1650286614894867, 0.47635290026664734, -0.3405011296272278, -0.40581148862838745, -0.7120543718338013, 0.33205658197402954, 0.7688068151473999, 0.28759703040122986, -0.14498282968997955, -0.36037373542785645, 0.6376376748085022, 0.11277519166469574, 0.39929866790771484, 0.3933720886707306, -0.39997777342796326, 0.0008184523903764784, 0.2865102291107178, -0.03683143109083176, 0.20988459885120392, 0.14004847407341003, -0.03623465448617935, 0.22529372572898865, -0.31111299991607666, -0.2878372371196747, -0.4026830792427063, -0.25666117668151855, 0.2763221561908722, 0.2270999252796173, 0.11374449729919434, 0.15920527279376984, -0.20505985617637634, 0.0012704950058832765, -0.34560903906822205, 0.07484519481658936, 0.03960372507572174, -0.08020222932100296, -0.12656937539577484, 0.08720611780881882, -0.618707537651062, -0.02216586098074913, 0.16051097214221954, 0.01856764405965805, 0.021009478718042374, 0.5272171497344971, 0.030465533956885338, 0.06516287475824356, 0.1681225597858429, 0.0963268056511879, -0.3795565366744995, -0.1678517609834671, 0.154367133975029, -0.16578084230422974, -0.23793643712997437, 0.08519332110881805, 0.2168310135602951]",3,Liqueur Luxardo,Dash Luxardo,"[1.0, 0.8888670752695078, 0.8797780175843725, 0.8724681860228067, 0.8714878296691174, 0.8695729368548882]","[646, 624, 539, 120, 685]","['The Fifth Star', 'Nigamono', 'Thyme for Bed', 'Willow', 'Red Hook']"
27,Lux Shandy,Naomi Levy,Eastern Standard,Boston,"1 oz Luxardo Aperitivo, .5 oz Lemon Juice, .5 oz Orange Juice, .5 oz Simple Syrup,  top Anchor California Lager",Half Orange Wheel,Highball Glass,Add all ingredients to a mixing glass. Add ice and integration shake. Pour over fresh ice into a highball and top with California Lager. Garnish with a half orange wheel.,"First served at Tales of the Cocktail 2014 ""Luxardo CAP Lunch""","['1 oz Luxardo Aperitivo', '.5 oz Lemon Juice', '.5 oz Orange Juice', '.5 oz Simple Syrup', 'top Anchor California Lager']",['luxardo'],"Naomi Levy Eastern Standard Boston oz Luxardo Aperitivo,  oz Lemon Juice,  oz Orange Juice,  oz Simple Syrup, top Anchor California Lager Half Orange Wheel Highball Glass Add all ingredients to a mixing glass Add ice and integration shake Pour over fresh ice into a highball and top with California Lager Garnish with a half orange wheel First served at Tales of the Cocktail ""Luxardo CAP Lunch""","[0.915524959564209, -0.4758191406726837, 0.09313586354255676, 0.30255815386772156, -0.031114356592297554, -0.9396238327026367, 0.04464792460203171, 0.3528035879135132, -0.5145519971847534, -0.07076723128557205, 0.4334053695201874, -0.4354071617126465, -0.3662119507789612, -0.20873960852622986, 0.7375022172927856, 0.20778675377368927, 0.33622312545776367, -0.20340047776699066, -0.2496064305305481, 0.6093828082084656, 0.23151156306266785, 0.5072981119155884, 0.2807815372943878, -0.8233540058135986, -0.14740732312202454, 0.08075126260519028, -0.5008404850959778, 0.197278693318367, -0.15607842803001404, 0.14354652166366577, -0.006292329169809818, -0.136490136384964, -0.391305536031723, -0.1980833262205124, -0.09029616415500641, 0.014898000285029411, -0.09547393769025803, 0.6210469603538513, 0.14419318735599518, -0.04377508535981178, -0.6078361868858337, -0.33851033449172974, 0.3816213011741638, 0.1275845468044281, -0.1343444436788559, -0.09069228172302246, -0.0008948036702349782, -0.24507492780685425, 0.14123155176639557, 0.08621351420879364, 0.17098446190357208, 0.23106399178504944, 0.33436426520347595, 0.3136477768421173, 0.957153856754303, 0.7992187142372131, 0.2186354547739029, -0.3048407733440399, 0.1087774932384491, 0.2042538970708847, -0.059297651052474976, 0.24141822755336761, -0.34915441274642944, 0.5019571781158447]",8,Vodka Beer,Coffee Barrel,"[1.0, 0.8290633451352846, 0.8065224292407669, 0.7992562021623353, 0.7972388255901991, 0.790014863487797]","[354, 339, 192, 637, 361]","['San Fran Soda', 'Blood & Sand', 'A Regal Air ', 'Negroni Sorbetto', 'Bloody Fernet']"
28,Fiona Graham,Chris Morris,,Houston,"1.5 oz Luxardo Bitter Bianco, 1 oz Junmai Sake, .25 oz Coconut Rum, 1 dash Orange Bitters, 1 dash Coconut Vinegar",Expressed Orange Swath,Nick & Nora,Add all ingredients to a mixing glass. Stir until thoroughly chilled (~30 seconds). Strain into a chilled cocktail glass. Serve with one big rock. Garnish with an expressed orange swath.,,"['1.5 oz Luxardo Bitter Bianco', '1 oz Junmai Sake', '.25 oz Coconut Rum', '1 dash Orange Bitters', '1 dash Coconut Vinegar']","['bianco', 'luxardo', 'sake', 'rum']","Chris Morris Houston  oz Luxardo Bitter Bianco, oz Junmai Sake,  oz Coconut Rum, dash Orange Bitters, dash Coconut Vinegar Expressed Orange Swath Nick & Nora Add all ingredients to a mixing glass Stir until thoroughly chilled (~ seconds) Strain into a chilled cocktail glass Serve with one big rock Garnish with an expressed orange swath ","[0.6038403511047363, -0.24825836718082428, -0.19366943836212158, 0.845511794090271, 0.16229131817817688, -0.9971914291381836, -0.0766238272190094, -0.5067867636680603, -1.044291377067566, 0.4416157901287079, 0.4229086637496948, -0.42084670066833496, -0.7525310516357422, -0.5440431237220764, 0.5196794271469116, 0.48568788170814514, 0.046244096010923386, 0.14253364503383636, -0.20299166440963745, 0.6442867517471313, 0.3986208736896515, 0.7606595158576965, 0.28549736738204956, -0.6312267780303955, -0.14806771278381348, 0.5075094103813171, -0.24698150157928467, 0.37366873025894165, -0.12789826095104218, 0.06311861425638199, -0.05814122036099434, -0.19666120409965515, 0.17806431651115417, -0.3251347541809082, 0.14653973281383514, 0.25096121430397034, 0.2672157883644104, 0.5290143489837646, 0.03352505341172218, -0.6590902209281921, -0.38830262422561646, -0.4897933304309845, -0.07116339355707169, 0.20573095977306366, 0.24608750641345978, -0.14888373017311096, -0.019344361498951912, -0.31048527359962463, 0.10483803600072861, 0.47034335136413574, 0.4200044572353363, 0.3923337459564209, 0.48454564809799194, -0.26872628927230835, 0.03326918184757233, 0.6201249361038208, 0.15093117952346802, -0.2988685667514801, -0.049902692437171936, 0.13764089345932007, 0.17167824506759644, -0.08512699604034424, 0.03220761567354202, 0.685100793838501]",3,Liqueur Luxardo,Dash Luxardo,"[1.0, 0.8692937609150279, 0.840703012662713, 0.8390240182402539, 0.837908768098289, 0.8373719762208252]","[676, 89, 123, 337, 583]","['An Oaxacan Christmas', 'Le Femme Nikita', 'You Bet Your Ascot', 'Heart Breaker', 'The Awen']"
29,Le Sang et Sable,Toby Cecchini,The Long Island Bar,Brooklyn,"1.5 oz H by HINE, .5 oz Dubonnet Rouge, .5 oz Cherry Herring, .375 oz Blood Orange Juice, .375 oz Lemon Juice","Cherry, Lemon Twist",Stemmed Cordial Glass,Add all ingredients to a shaker and fill with ice. Shake vigorously and strain into chilled stemmed cordial glass. Garnish with cocktail cherry and lemon twist.,Photo credit: liquor.com,"['1.5 oz H by HINE', '.5 oz Dubonnet Rouge', '.5 oz Cherry Herring', '.375 oz Blood Orange Juice', '.375 oz Lemon Juice']","['h by hine', 'rouge']","Toby Cecchini The Long Island Bar Brooklyn  oz H by HINE,  oz Dubonnet Rouge,  oz Cherry Herring,  oz Blood Orange Juice,  oz Lemon Juice Cherry, Lemon Twist Stemmed Cordial Glass Add all ingredients to a shaker and fill with ice Shake vigorously and strain into chilled stemmed cordial glass Garnish with cocktail cherry and lemon twist Photo credit: liquor com","[0.6244997382164001, -0.37035536766052246, 0.6473833322525024, 0.15074726939201355, 0.2447713315486908, -0.7292885184288025, 0.17642231285572052, 0.27681440114974976, -1.2090445756912231, 0.3226921260356903, 0.5819629430770874, -0.45812249183654785, -0.6077682971954346, -0.542977511882782, 0.1699729859828949, 0.6288310885429382, 0.5181022882461548, 0.1731700599193573, -0.07286293804645538, 0.9432224035263062, 0.4304370582103729, 0.6736438274383545, 0.36783596873283386, -0.39210668206214905, -0.25398269295692444, 0.12640519440174103, -0.04574737325310707, 0.6449306011199951, 0.16845712065696716, 0.03783192113041878, 0.026628876104950905, 0.07424230128526688, -0.541021466255188, -0.553166925907135, 0.33712533116340637, 0.14033430814743042, -0.17477305233478546, 0.2554433047771454, 0.31160852313041687, -0.3205212652683258, -0.3507345914840698, -0.010840811766684055, -0.2213897556066513, 0.0668414980173111, 0.031092623248696327, -0.2754877209663391, 0.5157787799835205, -0.5648699998855591, -0.07316961139440536, 0.16467300057411194, 0.2529650330543518, 0.10312371701002121, 0.5429636240005493, 0.2929053008556366, 0.09918428957462311, 0.626559317111969, 0.10205405950546265, -0.5406998991966248, -0.08585870265960693, -0.05054880678653717, -0.3947110176086426, -0.14601822197437286, 0.01806706376373768, 0.6622118353843689]",1,Luxardo Gin,Bitters Garnish,"[1.0000000000000002, 0.8829419348280224, 0.852204414883389, 0.8512128638550113, 0.8457931515300102, 0.8405539148895378]","[615, 685, 41, 605, 11]","['The Hollinger Manhattan', 'Red Hook', ""Angel's Face"", 'Lonesome George', 'Fourth Generation']"
30,Martinez Orange,,,,"1.5 oz Old Tom Gin, 1.5 oz Tempus Fugit Alessio Vermouth di Torino Rosso, .25 oz Luxardo Maraschino Liqueur, 2 dash Tempus Fugit Abbott's Bitters",Orange Twist,Coupe,"Add all ingredients to a shaker and fill with ice. Shake, and strain into a chilled coupe glass.",,"['1.5 oz Old Tom Gin', '1.5 oz Tempus Fugit Alessio Vermouth di Torino Rosso', '.25 oz Luxardo Maraschino Liqueur', ""2 dash Tempus Fugit Abbott's Bitters""]","['gin', 'ale', 'vermouth', 'tempus fugit', 'liqueur', 'luxardo', 'tempus fugit']"," oz Old Tom Gin,  oz Tempus Fugit Alessio Vermouth di Torino Rosso,  oz Luxardo Maraschino Liqueur, dash Tempus Fugit Abbott's Bitters Orange Twist Coupe Add all ingredients to a shaker and fill with ice Shake, and strain into a chilled coupe glass ","[0.6012606024742126, -0.3349810540676117, -0.06420242786407471, 0.28061187267303467, 0.36412298679351807, -0.46969613432884216, -0.08493805676698685, 0.1522490531206131, -0.96533203125, 0.1997905671596527, 0.3398508131504059, -0.554188072681427, -0.09207984805107117, -0.47561487555503845, 0.26612588763237, 0.5760786533355713, -0.004353418480604887, -0.009417900815606117, -0.5039585828781128, 0.7992377877235413, 0.1995883584022522, 0.49690744280815125, 0.47596752643585205, -0.3733980655670166, -0.09728842228651047, 0.074628546833992, -0.05583192780613899, -0.006753914058208466, 0.0011502743000164628, 0.1295260637998581, 0.00043115223525092006, -0.014054929837584496, -0.20608025789260864, -0.11149334162473679, -0.27818337082862854, 0.3515700101852417, -0.10865766555070877, 0.25773727893829346, 0.25435081124305725, -0.05381249263882637, -0.1947685033082962, -0.31696298718452454, 0.06247631832957268, -0.18559999763965607, -0.2115672528743744, -0.29012978076934814, -0.1535368263721466, -0.47498127818107605, -0.09287246316671371, 0.1554340273141861, 0.07927633821964264, 0.1709984689950943, 0.4568929374217987, 0.08683334290981293, 0.2793081998825073, 0.13517160713672638, 0.19528326392173767, -0.6069290041923523, -0.15745879709720612, 0.05314217135310173, -0.18212845921516418, -0.2648440897464752, 0.09218219667673111, 0.12040869891643524]",8,Vodka Beer,Coffee Barrel,"[1.0000000000000007, 0.9250076777187602, 0.923942831356824, 0.8930971943018465, 0.8893502035822448, 0.8872763291456086]","[214, 495, 25, 415, 603]","['Division Bell', 'Hemingway Daiquiri', 'The Mad King', 'P.T. Barnum Cocktail', 'Iron Fist in a Velvet Glove']"
31,Amaretto Sour BV-Style,Scott Baird,The Bon Vivants,San Francisco,"1.5 oz Luxardo Amaretto di Saschira, .5 oz Bourbon, .5 oz Fresh?ÿLime Juice, .75 oz Pineapple Juice, .75 oz Fresh Egg White, 2 dash Angostura Bitters","Cherry, Freshly Grated Cinnamon",Coupe,Add all ingredients to a shaker and shake well without ice to emulsify the egg white. Add ice and shake hard until the drink is chilled. Strain through a fine-mesh strainer into a chilled coupe and garnish.,"Cocktail appeared in <a href=""http://imbibemagazine.com/pig-punch-cocktail-series-amaretto-sour/"" target=""_blank"" rel=""nofollow"">IMBIBE EVENTS + PROMOTIONS PIG N PUNCH JUNE 15, 2016</a>","['1.5 oz Luxardo Amaretto di Saschira', '.5 oz Bourbon', '.5 oz Fresh?ÿLime Juice', '.75 oz Pineapple Juice', '.75 oz Fresh Egg White', '2 dash Angostura Bitters']","['amaretto', 'luxardo', 'bourbon']","Scott Baird The Bon Vivants San Francisco  oz Luxardo Amaretto di Saschira,  oz Bourbon,  oz Fresh?ÿLime Juice,  oz Pineapple Juice,  oz Fresh Egg White, dash Angostura Bitters Cherry, Freshly Grated Cinnamon Coupe Add all ingredients to a shaker and shake well without ice to emulsify the egg white Add ice and shake hard until the drink is chilled Strain through a fine-mesh strainer into a chilled coupe and garnish Cocktail appeared in <a href=""http://imbibemagazine com/pig-punch-cocktail-series-amaretto-sour/"" target=""_blank"" rel=""nofollow"">IMBIBE EVENTS + PROMOTIONS PIG N PUNCH JUNE , </a>","[1.3016941547393799, -1.2257391214370728, 0.17095084488391876, 0.12152320891618729, -0.18497249484062195, 2.595752084744163e-05, -0.12327233701944351, 0.8095242381095886, -1.005446195602417, 0.12156662344932556, 0.5068581700325012, -0.6228698492050171, -0.1847495436668396, -0.5801765322685242, 0.13201850652694702, 0.43855446577072144, 0.1495881974697113, -0.331927627325058, -0.633778989315033, 0.3813849985599518, 0.4220315217971802, 0.8117214441299438, 0.7962565422058105, -0.10061749070882797, -0.3992447555065155, -0.023928722366690636, 0.09945832937955856, 0.48576176166534424, 0.49568888545036316, 0.5140765905380249, -0.1093519851565361, 0.08887063711881638, -0.5433815121650696, 0.06522120535373688, -0.17074628174304962, -0.03163539245724678, 0.3981926143169403, 0.33177417516708374, 0.366176575422287, -0.3514541983604431, -0.2859582006931305, -0.9500613212585449, -0.05620667338371277, 0.2779906988143921, -0.1511215716600418, -0.2761182487010956, -0.015288871712982655, 0.04655403271317482, 0.1479172259569168, 0.3088705539703369, -0.3936956226825714, 0.3652653396129608, 0.3868423104286194, 0.36527448892593384, 0.10181140154600143, 0.4986382722854614, 0.943556010723114, -0.07119081914424896, -0.13557200133800507, 0.4499299228191376, -0.2995368242263794, -0.5848475098609924, -0.2159706950187683, 0.31205329298973083]",3,Liqueur Luxardo,Dash Luxardo,"[1.0000000000000002, 0.7848766206490889, 0.781354402461353, 0.7736930473475535, 0.7707939062161032, 0.7676615867766126]","[651, 649, 172, 423, 178]","['Lox, Stock & Two Smoking Barrels', ""Port's North Fogcutter Cup"", 'Radice Amara', 'Last Word', 'The Canevari Cocktail']"
32,Julia's Child,Calvin Marty,Best Intentions,Chicago,"1 oz Broker's Gin, 1 oz Karlsson's Gold Vodka, 2 oz Celery Root Puree, .5 oz Fresh Lemon Juice, .75 oz Simple Syrup, 3 dash Apple Bitters, 1 dash Angostura Bitters",Celery Leaf,Cocktail Glass,"Add all ingredients to a shaker and shake with ice, then double strain into a cocktail glass. Garnish with a celery leaf.",,"[""1 oz Broker's Gin"", ""1 oz Karlsson's Gold Vodka"", '2 oz Celery Root Puree', '.5 oz Fresh Lemon Juice', '.75 oz Simple Syrup', '3 dash Apple Bitters', '1 dash Angostura Bitters']","['gin', 'vodka']","Calvin Marty Best Intentions Chicago oz Broker's Gin, oz Karlsson's Gold Vodka, oz Celery Root Puree,  oz Fresh Lemon Juice,  oz Simple Syrup, dash Apple Bitters, dash Angostura Bitters Celery Leaf Cocktail Glass Add all ingredients to a shaker and shake with ice, then double strain into a cocktail glass Garnish with a celery leaf ","[0.3872426152229309, -0.8622552752494812, -0.057565655559301376, 0.21240265667438507, -0.06901105493307114, -0.5818856954574585, 0.18098920583724976, 0.14894695580005646, -0.5828307271003723, 0.07183022052049637, 0.6437937617301941, -0.6223416924476624, -0.40883079171180725, -0.3798312246799469, 0.11144259572029114, 0.556702196598053, 0.10762222856283188, -0.12896957993507385, -0.6013123989105225, 0.8528804183006287, 0.5301201939582825, 0.6782824397087097, 0.6467437744140625, -0.5004245638847351, -0.1617102473974228, -0.09217911958694458, -0.04961790144443512, 0.3017579913139343, 0.3703170120716095, 0.4562426209449768, -0.04272721707820892, 0.3388745188713074, -0.08987472206354141, -0.33772456645965576, 0.1433965563774109, 0.09560411423444748, 0.17190898954868317, 0.09366894513368607, 0.3602846562862396, -0.443205863237381, -0.47398197650909424, -0.1544560343027115, -0.07095728814601898, 0.025178764015436172, -0.07159077376127243, -0.09944622963666916, -0.4242698550224304, -0.2736503779888153, 0.21042299270629883, 0.4162927269935608, 0.2988452911376953, 0.6073499321937561, 0.43578609824180603, 0.6449517607688904, 0.13862541317939758, 0.29235631227493286, 0.05465092882514, -0.34950023889541626, -0.2161751389503479, 0.4255356788635254, -0.15738099813461304, 0.033998291939496994, 0.09681898355484009, 0.07420305162668228]",3,Liqueur Luxardo,Dash Luxardo,"[1.0000000000000002, 0.8764447002910326, 0.868992369437715, 0.8641986501827869, 0.8595325450691516, 0.8546062772107555]","[478, 210, 452, 214, 621]","['Dutch Stories', 'Delicious Sour', 'Ginger Drop', 'Division Bell', 'Creole']"
33,The Bitter King,,,,"2 oz King's Ginger Liqueur, .75 oz Lemon Juice, .75 oz Simple Syrup",Luxardo Cherry,Martini,"Add all ingredients to a shaker, add ice, shake and strain into a martini glass garnish with a Luxardo Cherry.",,"[""2 oz King's Ginger Liqueur"", '.75 oz Lemon Juice', '.75 oz Simple Syrup']","['gin', 'liqueur']"," oz King's Ginger Liqueur,  oz Lemon Juice,  oz Simple Syrup Luxardo Cherry Martini Add all ingredients to a shaker, add ice, shake and strain into a martini glass garnish with a Luxardo Cherry ","[-0.002354369033128023, -0.16112379729747772, 0.10908817499876022, 0.03543368726968765, 0.04351452365517616, -0.3014054000377655, 0.22367289662361145, -0.18547001481056213, -0.5421531200408936, 0.1973392367362976, 0.5070593953132629, -0.2791772186756134, -0.09771888703107834, -0.3065456748008728, -0.0847780779004097, 0.5592346787452698, -0.1009102314710617, 0.27583831548690796, -0.2089238464832306, 0.7861816883087158, 0.24558256566524506, 0.36421695351600647, 0.6327561140060425, 0.05222635343670845, -0.22904783487319946, 0.450656920671463, -0.020403599366545677, 0.5039606690406799, 0.35186994075775146, -0.07811196148395538, -0.10363902896642685, 0.007747223600745201, -0.3852483928203583, -0.133971706032753, -0.10723191499710083, 0.12544827163219452, -0.13354484736919403, 0.07223755121231079, 0.24876253306865692, -0.20737722516059875, -0.031698308885097504, 0.04609298333525658, 0.08644293248653412, 0.13959719240665436, -0.25017598271369934, -0.1302192211151123, -0.09422966092824936, -0.4406239986419678, -0.08663619309663773, -0.009630476124584675, 0.1356472671031952, -0.03213873505592346, 0.2997036576271057, 0.2386082410812378, 0.14725574851036072, -0.017754822969436646, -0.2855047583580017, -0.4732484817504883, -0.08000049740076065, 0.0223417729139328, -0.293515145778656, -0.68072509765625, 0.6697716116905212, 0.06189938634634018]",1,Luxardo Gin,Bitters Garnish,"[1.0, 0.8325570878168054, 0.8029776412950108, 0.7864266537205393, 0.7759539993255042, 0.7603901809984754]","[100, 102, 23, 120, 134]","['Bird is the Word', ""Rudolph's Rose"", 'Peace Daiquiri', 'Willow', 'The Monte Rua']"
34,La Maracuja,Luis Hernandez,White Oak Tavern,New York,"2 oz Ypioca Brasilizar Cachaca Prata Reserva Especial, 1.5 oz Fresh Passion Fruit, 1 oz Condense Milk, .25 oz Brown Sugar Syrup (2:1)","Mint Sprig, Fresh Grated Nutmeg",,Add all ingredients to blender and blend throughly. Double strain into a glass with cracked ice garnish with a mint sprig and fresh grated nutmeg.,,"['2 oz Ypioca Brasilizar Cachaca Prata Reserva Especial', '1.5 oz Fresh Passion Fruit', '1 oz Condense Milk', '.25 oz Brown Sugar Syrup (2:1)']",['cachaca'],"Luis Hernandez White Oak Tavern New York oz Ypioca Brasilizar Cachaca Prata Reserva Especial,  oz Fresh Passion Fruit, oz Condense Milk,  oz Brown Sugar Syrup (:) Mint Sprig, Fresh Grated Nutmeg Add all ingredients to blender and blend throughly Double strain into a glass with cracked ice garnish with a mint sprig and fresh grated nutmeg ","[0.7638404369354248, -0.6314488053321838, 0.13456407189369202, 0.04173916205763817, 0.1686123162508011, -0.4615892171859741, 0.11052479594945908, -0.10042157024145126, -0.7786990404129028, -0.038539957255125046, -0.10058118402957916, -0.16501468420028687, -0.1848013699054718, -0.8313783407211304, 0.17971409857273102, 1.068099856376648, 0.027516616508364677, 0.09115318953990936, -0.3191350996494293, 0.6874778866767883, 0.5191245675086975, 0.6849157810211182, 0.7200058102607727, -0.52339768409729, 0.08991670608520508, -0.08544962108135223, 0.07360710948705673, 0.04635067656636238, 0.6121932864189148, 0.14675380289554596, -0.09431985765695572, 0.10406849533319473, -0.2166121006011963, 0.4217168390750885, -0.15673553943634033, 0.09616490453481674, 0.00046187551924958825, 0.11435007303953171, 0.3254178464412689, -0.22364766895771027, -0.05841560661792755, -0.5002766847610474, 0.09606528282165527, -0.003778996877372265, 0.13924413919448853, -0.6737471222877502, -0.34155985713005066, -0.44350913166999817, 0.06281484663486481, 0.44427457451820374, -0.08837942034006119, -0.1424221694469452, 0.16282396018505096, 0.26434794068336487, 0.24067716300487518, 0.30550453066825867, 0.3583458662033081, -0.4625994861125946, -0.01987244375050068, 0.26570945978164673, -0.37062644958496094, 0.028948066756129265, -0.5193850994110107, 0.01713116653263569]",8,Vodka Beer,Coffee Barrel,"[0.9999999999999999, 0.8639720403950762, 0.8594290288371436, 0.8540152661655435, 0.829262989616898, 0.8278446721484191]","[426, 176, 449, 25, 363]","['The Windtalker', 'Picadilly', 'Tokyo Tea', 'The Mad King', 'Ch?\x9bteau Montifaud Lady Touch Triple Sec']"
35,San Francisco Strong (Skrong),Matt Grippo,Blackbird,San Francisco,".75 oz Junipero Gin, .75 oz Tempus Fugit Kina L'Aero d'Or, .75 oz Luxardo Bitter Bianco, .75 oz Lemon Juice, .75 oz Egg Whites, .5 oz Rich Simple Syrup*",Matcha Powder,Cocktail Glass,"Add all ingredients to tin and dry shake. Add ice and vigorously shake for 12 seconds. Fine strain into chilled cocktail glass. Garnish by sprinkling matcha powder (.25 tsp). 

*Rich Simple Syrup: 
-- 2 cups Granulated Sugar
-- 1 cup Water

Combine sugar and water in a small saucepan over medium heat and stir until sugar dissolves. Remove from heat, let cool to room temperature and transfer to a clean glass jar. Cover and keep refrigerated for up to 2 weeks.",,"['.75 oz Junipero Gin', "".75 oz Tempus Fugit Kina L'Aero d'Or"", '.75 oz Luxardo Bitter Bianco', '.75 oz Lemon Juice', '.75 oz Egg Whites', '.5 oz Rich Simple Syrup*']","['gin', 'tempus fugit', 'bianco', 'luxardo']","Matt Grippo Blackbird San Francisco  oz Junipero Gin,  oz Tempus Fugit Kina L'Aero d'Or,  oz Luxardo Bitter Bianco,  oz Lemon Juice,  oz Egg Whites,  oz Rich Simple Syrup* Matcha Powder Cocktail Glass Add all ingredients to tin and dry shake Add ice and vigorously shake for seconds Fine strain into chilled cocktail glass Garnish by sprinkling matcha powder ( tsp)  *Rich Simple Syrup:  cups Granulated Sugar cup Water Combine sugar and water in a small saucepan over medium heat and stir until sugar dissolves Remove from heat, let cool to room temperature and transfer to a clean glass jar Cover and keep refrigerated for up to weeks ","[0.8835158348083496, -0.9033521413803101, -0.2263025939464569, 1.1281996965408325, -0.600082516670227, -0.24105747044086456, 0.33265119791030884, 0.8148018717765808, -0.5476089715957642, 0.2774442434310913, -0.13757292926311493, -0.08187531679868698, -0.11170430481433868, -0.9279531836509705, -0.495492547750473, 1.1831493377685547, -0.6272328495979309, -0.42422381043434143, -0.8110967874526978, 0.7398431897163391, 0.7521772980690002, 0.6514626741409302, 0.5874229669570923, -0.09359897673130035, -0.1899549812078476, -0.4219946563243866, 0.16415907442569733, -0.03300520032644272, -0.22902123630046844, 0.32597193121910095, 0.10873930156230927, 0.04463345929980278, 0.3738602101802826, 0.11755789071321487, -0.5574943423271179, 0.658332109451294, 1.0228229761123657, 0.7197625041007996, 0.11306100338697433, -0.3418397307395935, -0.002598857507109642, -1.5086817741394043, 0.3616170883178711, 0.1306518316268921, -0.4216110408306122, -0.01872899755835533, -1.0546927452087402, 0.07773999869823456, -0.1506241261959076, 0.4496285915374756, 0.09552741795778275, 0.08031909912824631, 0.49133622646331787, 0.42944830656051636, -0.1377754807472229, -0.1479220688343048, 0.652808666229248, -0.8373415470123291, -1.0899749994277954, 0.27965012192726135, -0.05560087785124779, -0.8432955741882324, 0.5705128908157349, -0.055442340672016144]",4,Gin Bianco,Water cinnamon,"[1.0000000000000002, 0.8545071908715262, 0.8082380867132339, 0.7876379840185963, 0.7809974905496588, 0.719351667665645]","[405, 282, 133, 5, 54]","['Cock-tail', 'Clover Holiday Cocktail', 'The Bossa Nova', 'OH Snap!', 'Rx Hot Toddy']"
